turn,is_correct,memory_mb
222,,117.75390625
223,,117.75390625
224,,117.75390625
225,,117.75390625
226,,117.75390625
227,,117.75390625
228,,117.75390625
229,,117.75390625
230,,117.75390625
231,,117.75390625
232,,117.75390625
233,,117.75390625
234,,117.75390625
235,,117.75390625
236,,117.75390625
237,,117.75390625
238,,117.75390625
239,,117.75390625
240,,117.75390625
241,,117.75390625
242,,117.75390625
243,,117.75390625
244,,117.75390625
245,,117.75390625
246,,117.75390625
247,,117.75390625
248,,117.75390625
249,,117.75390625
250,,117.75390625
251,,117.75390625
252,,117.75390625
253,,117.75390625
254,,117.75390625
255,,117.75390625
256,,117.75390625
257,,117.75390625
258,,117.75390625
259,,117.75390625
260,,117.75390625
261,,117.75390625
262,,117.75390625
263,,117.75390625
264,,117.75390625
265,,117.75390625
266,,117.75390625
267,,117.75390625
268,,117.75390625
269,,117.75390625
270,,117.75390625
271,,117.75390625
272,,117.75390625
273,,117.75390625
274,,117.75390625
275,,117.75390625
276,,117.75390625
277,,117.75390625
278,,117.75390625
279,,117.75390625
280,,117.75390625
281,,117.75390625
282,,117.75390625
283,,117.75390625
284,,117.75390625
285,,117.75390625
286,,117.75390625
287,,117.75390625
288,,117.75390625
289,,117.75390625
290,,117.75390625
291,,117.75390625
292,,117.75390625
293,,117.75390625
294,,117.75390625
295,,117.75390625
296,,117.75390625
297,,117.75390625
298,,117.75390625
299,,117.75390625
300,,117.75390625
301,,117.75390625
302,,117.75390625
303,,117.75390625
304,,117.75390625
305,,117.75390625
306,,117.75390625
307,,117.75390625
308,,117.75390625
309,,117.75390625
310,,117.75390625
311,,117.75390625
312,,117.75390625
313,,117.75390625
314,,117.75390625
315,,117.75390625
316,,117.75390625
317,,117.75390625
318,,117.75390625
319,,117.75390625
320,,117.75390625
321,,117.75390625
322,,117.75390625
323,,117.75390625
324,,117.75390625
325,,117.75390625
326,,117.75390625
327,,117.75390625
328,,117.75390625
329,,117.75390625
330,,117.75390625
331,,117.75390625
332,,117.75390625
333,,117.75390625
334,,117.75390625
335,,117.75390625
336,,117.75390625
337,,117.75390625
338,,117.75390625
339,,117.75390625
340,,117.75390625
341,,117.75390625
342,,117.75390625
343,,117.75390625
344,,117.75390625
345,,117.75390625
346,,117.75390625
347,,117.75390625
348,,117.75390625
349,,117.75390625
350,,117.75390625
351,,117.75390625
352,,117.75390625
353,,117.75390625
354,,117.75390625
355,,117.75390625
356,,117.75390625
357,,117.75390625
358,,117.75390625
359,,117.75390625
360,,117.75390625
361,,117.75390625
362,,117.75390625
363,,117.75390625
364,,117.75390625
365,,117.75390625
366,,117.75390625
367,,117.75390625
368,,117.75390625
369,,117.75390625
370,,117.75390625
371,,117.75390625
372,,117.75390625
373,,117.75390625
374,,117.75390625
375,,117.75390625
376,,117.75390625
377,,117.75390625
378,,117.75390625
379,,117.75390625
380,,117.75390625
381,,117.75390625
382,,117.75390625
383,,117.75390625
384,,117.75390625
385,,117.75390625
386,,117.75390625
387,,117.75390625
388,,117.75390625
389,,117.75390625
390,,117.75390625
391,,117.75390625
392,,117.75390625
393,,117.75390625
394,,117.75390625
395,,117.75390625
396,,117.75390625
397,,117.75390625
398,,117.75390625
399,,117.75390625
400,,117.75390625
401,,117.75390625
402,,117.75390625
403,,117.75390625
404,,117.75390625
405,,117.75390625
406,,117.75390625
407,,117.75390625
408,,117.75390625
409,,117.75390625
410,,117.75390625
411,,117.75390625
412,,117.75390625
413,,117.75390625
414,,117.75390625
415,,117.75390625
416,,117.75390625
417,,117.75390625
418,,117.75390625
419,,117.75390625
420,,117.75390625
421,,117.75390625
422,,117.75390625
423,,117.75390625
424,,117.75390625
425,,117.75390625
426,,117.75390625
427,,117.75390625
428,,117.75390625
429,,117.75390625
430,,117.75390625
431,,117.75390625
432,,117.75390625
433,,117.75390625
434,,117.75390625
435,,117.75390625
436,,117.75390625
437,,117.75390625
438,,117.75390625
439,,117.75390625
440,,117.75390625
441,,117.75390625
442,,117.75390625
443,,117.75390625
444,,117.75390625
445,,117.75390625
446,,117.75390625
447,,117.75390625
448,,117.75390625
449,,117.75390625
450,,117.75390625
451,,117.75390625
452,,117.75390625
453,,117.75390625
454,,117.75390625
455,,117.75390625
456,,117.75390625
457,,117.75390625
458,,117.75390625
459,,117.75390625
460,,117.75390625
461,,117.75390625
462,,117.75390625
463,,117.75390625
464,,117.75390625
465,,117.75390625
466,,117.75390625
467,,117.75390625
468,,117.75390625
469,,117.75390625
470,,117.75390625
471,,117.75390625
472,,117.75390625
473,,117.75390625
474,,117.75390625
475,,117.75390625
476,,117.75390625
477,,117.75390625
478,,117.75390625
479,,117.75390625
480,,117.75390625
481,,117.75390625
482,,117.75390625
483,,117.75390625
484,,117.75390625
485,,117.75390625
486,,117.75390625
487,,117.75390625
488,,117.75390625
489,,117.75390625
490,,117.75390625
491,,117.75390625
492,,117.75390625
493,,117.75390625
494,,117.75390625
495,,117.75390625
496,,117.75390625
497,,117.75390625
498,,117.75390625
499,,117.75390625
500,,117.75390625
501,,117.75390625
502,,117.75390625
503,,117.75390625
504,,117.75390625
505,,117.75390625
506,,117.75390625
507,,117.75390625
508,,117.75390625
509,,117.75390625
510,,117.75390625
511,,117.75390625
512,,117.75390625
513,,117.75390625
514,,117.75390625
515,,117.75390625
516,,117.75390625
517,,117.75390625
518,,117.75390625
519,,117.75390625
520,,117.75390625
521,,117.75390625
522,,117.75390625
523,,117.75390625
524,,117.75390625
525,,117.75390625
526,,117.75390625
527,,117.75390625
528,,117.75390625
529,,117.75390625
530,,117.75390625
531,,117.75390625
532,,117.75390625
533,,117.75390625
534,,117.75390625
535,,117.75390625
536,,117.75390625
537,,117.75390625
538,,117.75390625
539,,117.75390625
540,,117.75390625
541,,117.75390625
542,,117.75390625
543,,117.75390625
544,,117.75390625
545,,117.75390625
546,,117.75390625
547,,117.75390625
548,,117.75390625
549,,117.75390625
550,,117.75390625
551,,117.75390625
552,,117.75390625
553,,117.75390625
554,,117.75390625
555,,117.75390625
556,,117.75390625
557,,117.75390625
558,,117.75390625
559,,117.75390625
560,,117.75390625
561,,117.75390625
562,,117.75390625
563,,117.75390625
564,,117.75390625
565,,117.75390625
566,,117.75390625
567,,117.75390625
568,,117.75390625
569,,117.75390625
570,,117.75390625
571,,117.75390625
572,,117.75390625
573,,117.75390625
574,,117.75390625
575,,117.75390625
576,,117.75390625
577,,117.75390625
578,,117.75390625
579,,117.75390625
580,,117.75390625
581,,117.75390625
582,,117.75390625
583,,117.75390625
584,,117.75390625
585,,117.75390625
586,,117.75390625
587,,117.75390625
588,,117.75390625
589,,117.75390625
590,,117.75390625
591,,117.75390625
592,,117.75390625
593,,117.75390625
594,,117.75390625
595,,117.75390625
596,,117.75390625
597,,117.75390625
598,,117.75390625
599,,117.75390625
600,,117.75390625
601,,117.75390625
602,,117.75390625
603,,117.75390625
604,,117.75390625
605,,117.75390625
606,,117.75390625
607,,117.75390625
608,,117.75390625
609,,117.75390625
610,,117.75390625
611,,117.75390625
612,,117.75390625
613,,117.75390625
614,,117.75390625
615,,117.75390625
616,,117.75390625
617,,117.75390625
618,,117.75390625
619,,117.75390625
620,,117.75390625
621,,117.75390625
622,,117.75390625
623,,117.75390625
624,,117.75390625
625,,117.75390625
626,,117.75390625
627,,117.75390625
628,,117.75390625
629,,117.75390625
630,,117.75390625
631,,117.75390625
632,,117.75390625
633,,117.75390625
634,,117.75390625
635,,117.75390625
636,,117.75390625
637,,117.75390625
638,,117.75390625
639,,117.75390625
640,,117.75390625
641,,117.75390625
642,,117.75390625
643,,117.75390625
644,,117.75390625
645,,117.75390625
646,,117.75390625
647,,117.75390625
648,,117.75390625
649,,117.75390625
650,,117.75390625
651,,117.75390625
652,,117.75390625
653,,117.75390625
654,,117.75390625
655,,117.75390625
656,,117.75390625
657,,117.75390625
658,,117.75390625
659,,117.75390625
660,,117.75390625
661,,117.75390625
662,,117.75390625
663,,117.75390625
664,,117.75390625
665,,117.75390625
666,,117.75390625
667,,117.75390625
668,,117.75390625
669,,117.75390625
670,,117.75390625
671,,117.75390625
672,,117.75390625
673,,117.75390625
674,,117.75390625
675,,117.75390625
676,,117.75390625
677,,117.75390625
678,,117.75390625
679,,117.75390625
680,,117.75390625
681,,117.75390625
682,,117.75390625
683,,117.75390625
684,,117.75390625
685,,117.75390625
686,,117.75390625
687,,117.75390625
688,,117.75390625
689,,117.75390625
690,,117.75390625
691,,117.75390625
692,,117.75390625
693,,117.75390625
694,,117.75390625
695,,117.75390625
696,,117.75390625
697,,117.75390625
698,,117.75390625
699,,117.75390625
700,,117.75390625
701,,117.75390625
702,,117.75390625
703,,117.75390625
704,,117.75390625
705,,117.75390625
706,,117.75390625
707,,117.75390625
708,,117.75390625
709,,117.75390625
710,,117.75390625
711,,117.75390625
712,,117.75390625
713,,117.75390625
714,,117.75390625
715,,117.75390625
716,,117.75390625
717,,117.75390625
718,,117.75390625
719,,117.75390625
720,,117.75390625
721,,117.75390625
722,,117.75390625
723,,117.75390625
724,,117.75390625
725,,117.75390625
726,,117.75390625
727,,117.75390625
728,,117.75390625
729,,117.75390625
730,,117.75390625
731,,117.75390625
732,,117.75390625
733,,117.75390625
734,,117.75390625
735,,117.75390625
736,,117.75390625
737,,117.75390625
738,,117.75390625
739,,117.75390625
740,,117.75390625
741,,117.75390625
742,,117.75390625
743,,117.75390625
744,,117.75390625
745,,117.75390625
746,,117.75390625
747,,117.75390625
748,,117.75390625
749,,117.75390625
750,,117.75390625
751,,117.75390625
752,,117.75390625
753,,117.75390625
754,,117.75390625
755,,117.75390625
756,,117.75390625
757,,117.75390625
758,,117.75390625
759,,117.75390625
760,,117.75390625
761,,117.75390625
762,,117.75390625
763,,117.75390625
764,,117.75390625
765,,117.75390625
766,,117.75390625
767,,117.75390625
768,,117.75390625
769,,117.75390625
770,,117.75390625
771,,117.75390625
772,,117.75390625
773,,117.75390625
774,,117.75390625
775,,117.75390625
776,,117.75390625
777,,117.75390625
778,,117.75390625
779,,117.75390625
780,,117.75390625
781,,117.75390625
782,,117.75390625
783,,117.75390625
784,,117.75390625
785,,117.75390625
786,,117.75390625
787,,117.75390625
788,,117.75390625
789,,117.75390625
790,,117.75390625
791,,117.75390625
792,,117.75390625
793,,117.75390625
794,,117.75390625
795,,117.75390625
796,,117.75390625
797,,117.75390625
798,,117.75390625
799,,117.75390625
800,,117.75390625
801,,117.75390625
802,,117.75390625
803,,117.75390625
804,,117.75390625
805,,117.75390625
806,,117.75390625
807,,117.75390625
808,,117.75390625
809,,117.75390625
810,,117.75390625
811,,117.75390625
812,,117.75390625
813,,117.75390625
814,,117.75390625
815,,117.75390625
816,,117.75390625
817,,117.75390625
818,,117.75390625
819,,117.75390625
820,,117.75390625
821,,117.75390625
822,,117.75390625
823,,117.75390625
824,,117.75390625
825,,117.75390625
826,,117.75390625
827,,117.75390625
828,,117.75390625
829,,117.75390625
830,,117.75390625
831,,117.75390625
832,,117.75390625
833,,117.75390625
834,,117.75390625
835,,117.75390625
836,,117.75390625
837,,117.75390625
838,,117.75390625
839,,117.75390625
840,,117.75390625
841,,117.75390625
842,,117.75390625
843,,117.75390625
844,,117.75390625
845,,117.75390625
846,,117.75390625
847,,117.75390625
848,,117.75390625
849,,117.75390625
850,,117.75390625
851,False,118.296875
852,False,118.296875
853,False,118.296875
854,False,118.296875
855,False,118.296875
856,False,118.296875
857,False,118.296875
858,False,118.296875
859,False,118.296875
860,False,118.296875
861,False,118.296875
862,False,118.296875
863,False,118.296875
864,False,118.296875
865,False,118.296875
866,False,118.296875
867,False,118.296875
868,False,118.296875
869,False,118.296875
870,False,118.296875
871,False,118.296875
872,False,118.296875
873,False,118.296875
874,False,118.296875
875,False,118.296875
876,False,118.296875
877,False,118.296875
878,False,118.296875
879,False,118.296875
880,False,118.296875
881,False,118.296875
882,False,118.296875
883,False,118.296875
884,False,118.296875
885,False,118.296875
886,False,118.296875
887,False,118.296875
888,False,118.296875
889,False,118.296875
890,False,118.296875
891,False,118.296875
892,False,118.296875
893,False,118.296875
894,False,118.296875
895,False,118.296875
896,False,118.296875
897,False,118.296875
898,False,118.296875
899,False,118.296875
900,False,118.296875
901,True,118.296875
902,True,118.296875
903,True,118.296875
904,True,118.296875
905,True,118.296875
906,True,118.296875
907,True,118.296875
908,True,118.296875
909,True,118.296875
910,True,118.296875
911,True,118.296875
912,True,118.296875
913,True,118.296875
914,True,118.296875
915,True,118.296875
916,True,118.296875
917,True,118.296875
918,True,118.296875
919,True,118.296875
920,True,118.296875
921,True,118.296875
922,True,118.296875
923,True,118.296875
924,True,118.296875
925,True,118.296875
926,True,118.296875
927,True,118.296875
928,True,118.296875
929,True,118.296875
930,True,118.296875
931,True,118.296875
932,True,118.296875
933,True,118.296875
934,True,118.296875
935,True,118.296875
936,True,118.296875
937,True,118.296875
938,True,118.296875
939,True,118.296875
940,True,118.296875
941,True,118.296875
942,True,118.296875
943,True,118.296875
944,True,118.296875
945,True,118.296875
946,True,118.296875
947,True,118.296875
948,True,118.296875
949,True,118.2734375
950,True,118.2734375
