turn,fact,query,expected,frame
31,Data Point 31: The secure access code for Vault 31 is 1031.,None,None,Earth_Base
32,Data Point 32: The secure access code for Vault 32 is 1032.,None,None,Earth_Base
33,Data Point 33: The secure access code for Vault 33 is 1033.,None,None,Earth_Base
34,Data Point 34: The secure access code for Vault 34 is 1034.,None,None,Earth_Base
35,Data Point 35: The secure access code for Vault 35 is 1035.,None,None,Earth_Base
36,Data Point 36: The secure access code for Vault 36 is 1036.,None,None,Earth_Base
37,Data Point 37: The secure access code for Vault 37 is 1037.,None,None,Earth_Base
38,Data Point 38: The secure access code for Vault 38 is 1038.,None,None,Earth_Base
39,Data Point 39: The secure access code for Vault 39 is 1039.,None,None,Earth_Base
40,Data Point 40: The secure access code for Vault 40 is 1040.,None,None,Earth_Base
41,Data Point 41: The secure access code for Vault 41 is 1041.,None,None,Earth_Base
42,Data Point 42: The secure access code for Vault 42 is 1042.,None,None,Earth_Base
43,Data Point 43: The secure access code for Vault 43 is 1043.,None,None,Earth_Base
44,Data Point 44: The secure access code for Vault 44 is 1044.,None,None,Earth_Base
45,Data Point 45: The secure access code for Vault 45 is 1045.,None,None,Earth_Base
46,Data Point 46: The secure access code for Vault 46 is 1046.,None,None,Earth_Base
47,Data Point 47: The secure access code for Vault 47 is 1047.,None,None,Earth_Base
48,Data Point 48: The secure access code for Vault 48 is 1048.,None,None,Earth_Base
49,Data Point 49: The secure access code for Vault 49 is 1049.,None,None,Earth_Base
50,Data Point 50: The secure access code for Vault 50 is 1050.,None,None,Earth_Base
51,Log 51: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
52,Log 52: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
53,Log 53: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
54,Log 54: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
55,Log 55: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
56,Log 56: Static report on weather. No anomalies detected.,None,None,Earth_Base
57,Log 57: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
58,Log 58: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
59,Log 59: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
60,Log 60: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
61,Log 61: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
62,Log 62: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
63,Log 63: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
64,Log 64: Static report on weather. No anomalies detected.,None,None,Earth_Base
65,Log 65: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
66,Log 66: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
67,Log 67: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
68,Log 68: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
69,Log 69: Static report on weather. No anomalies detected.,None,None,Earth_Base
70,Log 70: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
71,Log 71: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
72,Log 72: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
73,Log 73: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
74,Log 74: Static report on weather. No anomalies detected.,None,None,Earth_Base
75,Log 75: Static report on weather. No anomalies detected.,None,None,Earth_Base
76,Log 76: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
77,Log 77: Static report on weather. No anomalies detected.,None,None,Earth_Base
78,Log 78: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
79,Log 79: Static report on weather. No anomalies detected.,None,None,Earth_Base
80,Log 80: Static report on weather. No anomalies detected.,None,None,Earth_Base
81,Log 81: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
82,Log 82: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
83,Log 83: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
84,Log 84: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
85,Log 85: Static report on weather. No anomalies detected.,None,None,Earth_Base
86,Log 86: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
87,Log 87: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
88,Log 88: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
89,Log 89: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
90,Log 90: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
91,Log 91: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
92,Log 92: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
93,Log 93: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
94,Log 94: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
95,Log 95: Static report on weather. No anomalies detected.,None,None,Earth_Base
96,Log 96: Static report on weather. No anomalies detected.,None,None,Earth_Base
97,Log 97: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
98,Log 98: Static report on weather. No anomalies detected.,None,None,Earth_Base
99,Log 99: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
100,Log 100: Static report on weather. No anomalies detected.,None,None,Earth_Base
101,Log 101: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
102,Log 102: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
103,Log 103: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
104,Log 104: Static report on weather. No anomalies detected.,None,None,Earth_Base
105,Log 105: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
106,Log 106: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
107,Log 107: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
108,Log 108: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
109,Log 109: Static report on weather. No anomalies detected.,None,None,Earth_Base
110,Log 110: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
111,Log 111: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
112,Log 112: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
113,Log 113: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
114,Log 114: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
115,Log 115: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
116,Log 116: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
117,Log 117: Static report on weather. No anomalies detected.,None,None,Earth_Base
118,Log 118: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
119,Log 119: Static report on weather. No anomalies detected.,None,None,Earth_Base
120,Log 120: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
121,Log 121: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
122,Log 122: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
123,Log 123: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
124,Log 124: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
125,Log 125: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
126,Log 126: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
127,Log 127: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
128,Log 128: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
129,Log 129: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
130,Log 130: Static report on weather. No anomalies detected.,None,None,Earth_Base
131,Log 131: Static report on weather. No anomalies detected.,None,None,Earth_Base
132,Log 132: Static report on weather. No anomalies detected.,None,None,Earth_Base
133,Log 133: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
134,Log 134: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
135,Log 135: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
136,Log 136: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
137,Log 137: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
138,Log 138: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
139,Log 139: Static report on weather. No anomalies detected.,None,None,Earth_Base
140,Log 140: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
141,Log 141: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
142,Log 142: Static report on weather. No anomalies detected.,None,None,Earth_Base
143,Log 143: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
144,Log 144: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
145,Log 145: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
146,Log 146: Static report on weather. No anomalies detected.,None,None,Earth_Base
147,Log 147: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
148,Log 148: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
149,Log 149: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
150,Log 150: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
151,Log 151: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
152,Log 152: Static report on weather. No anomalies detected.,None,None,Earth_Base
153,Log 153: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
154,Log 154: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
155,Log 155: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
156,Log 156: Static report on weather. No anomalies detected.,None,None,Earth_Base
157,Log 157: Static report on weather. No anomalies detected.,None,None,Earth_Base
158,Log 158: Static report on weather. No anomalies detected.,None,None,Earth_Base
159,Log 159: Static report on weather. No anomalies detected.,None,None,Earth_Base
160,Log 160: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
161,Log 161: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
162,Log 162: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
163,Log 163: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
164,Log 164: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
165,Log 165: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
166,Log 166: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
167,Log 167: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
168,Log 168: Static report on weather. No anomalies detected.,None,None,Earth_Base
169,Log 169: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
170,Log 170: Static report on weather. No anomalies detected.,None,None,Earth_Base
171,Log 171: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
172,Log 172: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
173,Log 173: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
174,Log 174: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
175,Log 175: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
176,Log 176: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
177,Log 177: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
178,Log 178: Static report on weather. No anomalies detected.,None,None,Earth_Base
179,Log 179: Static report on weather. No anomalies detected.,None,None,Earth_Base
180,Log 180: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
181,Log 181: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
182,Log 182: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
183,Log 183: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
184,Log 184: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
185,Log 185: Static report on weather. No anomalies detected.,None,None,Earth_Base
186,Log 186: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
187,Log 187: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
188,Log 188: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
189,Log 189: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
190,Log 190: Static report on weather. No anomalies detected.,None,None,Earth_Base
191,Log 191: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
192,Log 192: Static report on weather. No anomalies detected.,None,None,Earth_Base
193,Log 193: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
194,Log 194: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
195,Log 195: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
196,Log 196: Static report on weather. No anomalies detected.,None,None,Earth_Base
197,Log 197: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
198,Log 198: Static report on weather. No anomalies detected.,None,None,Earth_Base
199,Log 199: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
200,Log 200: Static report on weather. No anomalies detected.,None,None,Earth_Base
201,Log 201: Static report on weather. No anomalies detected.,None,None,Earth_Base
202,Log 202: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
203,Log 203: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
204,Log 204: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
205,Log 205: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
206,Log 206: Static report on weather. No anomalies detected.,None,None,Earth_Base
207,Log 207: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
208,Log 208: Static report on weather. No anomalies detected.,None,None,Earth_Base
209,Log 209: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
210,Log 210: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
211,Log 211: Static report on weather. No anomalies detected.,None,None,Earth_Base
212,Log 212: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
213,Log 213: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
214,Log 214: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
215,Log 215: Static report on weather. No anomalies detected.,None,None,Earth_Base
216,Log 216: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
217,Log 217: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
218,Log 218: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
219,Log 219: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
220,Log 220: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
221,Log 221: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
222,Log 222: Static report on weather. No anomalies detected.,None,None,Earth_Base
223,Log 223: Static report on weather. No anomalies detected.,None,None,Earth_Base
224,Log 224: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
225,Log 225: Static report on weather. No anomalies detected.,None,None,Earth_Base
226,Log 226: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
227,Log 227: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
228,Log 228: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
229,Log 229: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
230,Log 230: Static report on weather. No anomalies detected.,None,None,Earth_Base
231,Log 231: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
232,Log 232: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
233,Log 233: Static report on weather. No anomalies detected.,None,None,Earth_Base
234,Log 234: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
235,Log 235: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
236,Log 236: Static report on weather. No anomalies detected.,None,None,Earth_Base
237,Log 237: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
238,Log 238: Static report on weather. No anomalies detected.,None,None,Earth_Base
239,Log 239: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
240,Log 240: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
241,Log 241: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
242,Log 242: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
243,Log 243: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
244,Log 244: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
245,Log 245: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
246,Log 246: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
247,Log 247: Static report on weather. No anomalies detected.,None,None,Earth_Base
248,Log 248: Static report on weather. No anomalies detected.,None,None,Earth_Base
249,Log 249: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
250,Log 250: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
251,Log 251: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
252,Log 252: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
253,Log 253: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
254,Log 254: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
255,Log 255: Static report on weather. No anomalies detected.,None,None,Earth_Base
256,Log 256: Static report on weather. No anomalies detected.,None,None,Earth_Base
257,Log 257: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
258,Log 258: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
259,Log 259: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
260,Log 260: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
261,Log 261: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
262,Log 262: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
263,Log 263: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
264,Log 264: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
265,Log 265: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
266,Log 266: Static report on weather. No anomalies detected.,None,None,Earth_Base
267,Log 267: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
268,Log 268: Static report on weather. No anomalies detected.,None,None,Earth_Base
269,Log 269: Static report on weather. No anomalies detected.,None,None,Earth_Base
270,Log 270: Static report on weather. No anomalies detected.,None,None,Earth_Base
271,Log 271: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
272,Log 272: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
273,Log 273: Static report on weather. No anomalies detected.,None,None,Earth_Base
274,Log 274: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
275,Log 275: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
276,Log 276: Static report on weather. No anomalies detected.,None,None,Earth_Base
277,Log 277: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
278,Log 278: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
279,Log 279: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
280,Log 280: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
281,Log 281: Static report on weather. No anomalies detected.,None,None,Earth_Base
282,Log 282: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
283,Log 283: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
284,Log 284: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
285,Log 285: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
286,Log 286: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
287,Log 287: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
288,Log 288: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
289,Log 289: Static report on weather. No anomalies detected.,None,None,Earth_Base
290,Log 290: Static report on weather. No anomalies detected.,None,None,Earth_Base
291,Log 291: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
292,Log 292: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
293,Log 293: Static report on weather. No anomalies detected.,None,None,Earth_Base
294,Log 294: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
295,Log 295: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
296,Log 296: Static report on weather. No anomalies detected.,None,None,Earth_Base
297,Log 297: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
298,Log 298: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
299,Log 299: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
300,Log 300: Static report on weather. No anomalies detected.,None,None,Earth_Base
301,Log 301: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
302,Log 302: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
303,Log 303: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
304,Log 304: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
305,Log 305: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
306,Log 306: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
307,Log 307: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
308,Log 308: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
309,Log 309: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
310,Log 310: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
311,Log 311: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
312,Log 312: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
313,Log 313: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
314,Log 314: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
315,Log 315: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
316,Log 316: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
317,Log 317: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
318,Log 318: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
319,Log 319: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
320,Log 320: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
321,Log 321: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
322,Log 322: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
323,Log 323: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
324,Log 324: Static report on weather. No anomalies detected.,None,None,Earth_Base
325,Log 325: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
326,Log 326: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
327,Log 327: Static report on weather. No anomalies detected.,None,None,Earth_Base
328,Log 328: Static report on weather. No anomalies detected.,None,None,Earth_Base
329,Log 329: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
330,Log 330: Static report on weather. No anomalies detected.,None,None,Earth_Base
331,Log 331: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
332,Log 332: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
333,Log 333: Static report on weather. No anomalies detected.,None,None,Earth_Base
334,Log 334: Static report on weather. No anomalies detected.,None,None,Earth_Base
335,Log 335: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
336,Log 336: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
337,Log 337: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
338,Log 338: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
339,Log 339: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
340,Log 340: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
341,Log 341: Static report on weather. No anomalies detected.,None,None,Earth_Base
342,Log 342: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
343,Log 343: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
344,Log 344: Static report on weather. No anomalies detected.,None,None,Earth_Base
345,Log 345: Static report on weather. No anomalies detected.,None,None,Earth_Base
346,Log 346: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
347,Log 347: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
348,Log 348: Static report on weather. No anomalies detected.,None,None,Earth_Base
349,Log 349: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
350,Log 350: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
351,Log 351: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
352,Log 352: Static report on weather. No anomalies detected.,None,None,Earth_Base
353,Log 353: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
354,Log 354: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
355,Log 355: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
356,Log 356: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
357,Log 357: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
358,Log 358: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
359,Log 359: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
360,Log 360: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
361,Log 361: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
362,Log 362: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
363,Log 363: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
364,Log 364: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
365,Log 365: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
366,Log 366: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
367,Log 367: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
368,Log 368: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
369,Log 369: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
370,Log 370: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
371,Log 371: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
372,Log 372: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
373,Log 373: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
374,Log 374: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
375,Log 375: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
376,Log 376: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
377,Log 377: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
378,Log 378: Static report on crew rations. No anomalies detected.,None,None,Earth_Base
379,Log 379: Static report on weather. No anomalies detected.,None,None,Earth_Base
380,Log 380: Static report on orbital debris. No anomalies detected.,None,None,Earth_Base
381,Log 381: Static report on weather. No anomalies detected.,None,None,Earth_Base
382,Log 382: Static report on sensor calibration. No anomalies detected.,None,None,Earth_Base
